fruit_id,color,length_cm,width_cm,kernel_mass_g,whole_fruit_weight_g,spot_coverage_percent,has_spots,oil_yield_percent,maturity_stage,length_width_ratio,kernel_fruit_ratio,color_encoded
TALISAY_01033,yellow,7.0,5.02,0.809,55.2,0.0,False,60.54,mature,1.394,1.47,1
TALISAY_01562,brown,6.72,5.5,0.82,53.3,0.0,False,55.78,fully_ripe,1.222,1.54,2
TALISAY_00351,green,5.52,4.17,0.539,44.5,13.7,True,45.0,immature,1.324,1.21,0
TALISAY_00163,green,7.0,5.3,0.9,57.7,26.9,True,49.53,immature,1.321,1.56,0
TALISAY_00203,green,5.96,4.7,0.687,52.1,25.8,True,48.8,immature,1.268,1.32,0
TALISAY_01053,yellow,5.21,3.58,0.436,38.3,0.0,False,55.89,mature,1.455,1.14,1
TALISAY_01364,yellow,6.79,4.69,0.9,46.8,0.0,False,60.14,mature,1.448,1.92,1
TALISAY_01966,brown,4.39,3.64,0.429,25.2,0.0,False,55.26,fully_ripe,1.206,1.7,2
TALISAY_00495,green,5.36,3.85,0.321,20.9,31.7,True,45.46,immature,1.392,1.54,0
TALISAY_01624,brown,7.0,5.5,0.793,60.0,0.0,False,55.81,fully_ripe,1.273,1.32,2
TALISAY_01965,brown,6.22,4.5,0.672,44.7,0.0,False,54.11,fully_ripe,1.382,1.5,2
TALISAY_01962,brown,6.3,4.94,0.812,52.3,0.0,False,55.67,fully_ripe,1.275,1.55,2
TALISAY_00610,yellow,6.7,5.5,0.859,56.5,13.6,True,60.62,mature,1.218,1.52,1
TALISAY_00432,green,6.64,4.98,0.898,55.1,22.1,True,48.41,immature,1.333,1.63,0
TALISAY_01491,yellow,5.72,3.76,0.687,49.4,17.1,True,59.36,mature,1.521,1.39,1
TALISAY_00218,green,5.44,3.38,0.599,35.1,26.9,True,45.0,immature,1.609,1.71,0
TALISAY_01930,brown,6.68,5.5,0.79,51.6,0.0,False,55.65,fully_ripe,1.215,1.53,2
TALISAY_01465,yellow,5.81,4.9,0.741,46.5,0.0,False,59.28,mature,1.186,1.59,1
TALISAY_00630,yellow,5.83,4.3,0.758,48.2,3.1,False,61.12,mature,1.356,1.57,1
TALISAY_01381,yellow,4.71,3.94,0.313,26.5,0.0,False,58.03,mature,1.195,1.18,1
TALISAY_01301,yellow,6.05,5.02,0.596,43.6,0.0,False,59.71,mature,1.205,1.37,1
TALISAY_00059,green,5.34,3.94,0.319,29.9,0.0,False,45.0,immature,1.355,1.07,0
TALISAY_00298,green,4.79,3.42,0.489,29.1,20.7,True,48.44,immature,1.401,1.68,0
TALISAY_01710,brown,4.59,3.04,0.421,23.9,0.0,False,56.6,fully_ripe,1.51,1.76,2
TALISAY_00073,green,5.29,3.52,0.582,43.1,31.2,True,45.99,immature,1.503,1.35,0
TALISAY_00162,green,5.92,3.34,0.739,43.7,0.0,False,48.91,immature,1.772,1.69,0
TALISAY_01274,yellow,4.47,3.49,0.654,37.0,0.0,False,57.03,mature,1.281,1.77,1
TALISAY_01593,brown,5.27,4.2,0.649,40.9,0.0,False,57.26,fully_ripe,1.255,1.59,2
TALISAY_01433,yellow,6.43,4.93,0.765,57.9,5.1,True,60.46,mature,1.304,1.32,1
TALISAY_01612,brown,5.94,4.07,0.567,38.7,0.0,False,55.31,fully_ripe,1.459,1.47,2
TALISAY_00591,yellow,6.45,4.91,0.854,45.5,0.0,False,63.17,mature,1.314,1.88,1
TALISAY_00316,green,5.86,5.21,0.854,57.3,36.2,True,49.52,immature,1.125,1.49,0
TALISAY_00045,green,6.68,4.98,0.71,53.7,44.9,True,46.88,immature,1.341,1.32,0
TALISAY_01719,brown,4.66,3.21,0.387,30.8,0.0,False,55.38,fully_ripe,1.452,1.26,2
TALISAY_01831,brown,6.07,4.81,0.686,47.2,0.0,False,57.09,fully_ripe,1.262,1.45,2
TALISAY_00427,green,4.88,3.49,0.219,36.1,0.0,False,45.3,immature,1.398,0.61,0
TALISAY_00581,yellow,6.07,5.45,0.641,59.7,3.3,False,58.65,mature,1.114,1.07,1
TALISAY_00076,green,6.64,5.12,0.844,60.0,0.0,False,48.97,immature,1.297,1.41,0
TALISAY_01916,brown,5.25,4.18,0.58,40.0,0.0,False,57.87,fully_ripe,1.256,1.45,2
TALISAY_01414,yellow,6.82,5.16,0.771,53.3,13.7,True,60.53,mature,1.322,1.45,1
TALISAY_00780,yellow,5.54,4.25,0.607,39.8,6.8,True,61.35,mature,1.304,1.53,1
TALISAY_01919,brown,6.95,5.08,0.9,59.4,0.0,False,58.39,fully_ripe,1.368,1.52,2
TALISAY_01173,yellow,6.18,4.56,0.62,48.9,11.6,True,58.36,mature,1.355,1.27,1
TALISAY_01319,yellow,5.16,3.32,0.541,35.7,3.5,False,57.34,mature,1.554,1.52,1
TALISAY_00937,yellow,5.35,4.19,0.389,38.2,3.7,False,59.43,mature,1.277,1.02,1
TALISAY_00030,green,6.41,5.27,0.724,52.5,6.6,True,51.42,immature,1.216,1.38,0
TALISAY_01091,yellow,6.74,4.54,0.793,58.1,22.8,True,61.02,mature,1.485,1.36,1
TALISAY_01615,brown,5.26,3.68,0.371,32.5,0.0,False,54.18,fully_ripe,1.429,1.14,2
TALISAY_01229,yellow,5.46,3.5,0.398,35.9,0.0,False,56.04,mature,1.56,1.11,1
TALISAY_00974,yellow,7.0,4.97,0.833,51.6,0.0,False,61.97,mature,1.408,1.61,1
TALISAY_01084,yellow,4.79,3.77,0.532,37.1,0.0,False,59.59,mature,1.271,1.43,1
TALISAY_00514,yellow,6.48,5.14,0.886,57.3,0.0,False,59.97,mature,1.261,1.55,1
TALISAY_01550,brown,6.95,5.45,0.9,55.9,0.0,False,57.79,fully_ripe,1.275,1.61,2
TALISAY_01567,brown,6.12,4.64,0.711,47.6,0.0,False,56.68,fully_ripe,1.319,1.49,2
TALISAY_01810,brown,6.71,5.5,0.846,57.4,0.0,False,54.02,fully_ripe,1.22,1.47,2
TALISAY_01573,brown,4.66,3.36,0.474,35.9,0.0,False,54.7,fully_ripe,1.387,1.32,2
TALISAY_00044,green,7.0,5.5,0.729,56.4,35.3,True,49.13,immature,1.273,1.29,0
TALISAY_01686,brown,5.44,3.8,0.504,48.3,12.7,True,54.57,fully_ripe,1.432,1.04,2
TALISAY_00168,green,6.39,4.44,0.66,51.1,40.1,True,48.88,immature,1.439,1.29,0
TALISAY_00303,green,6.42,5.21,0.707,58.9,11.6,True,48.81,immature,1.232,1.2,0
TALISAY_00990,yellow,6.47,5.5,0.777,50.4,6.1,True,58.64,mature,1.176,1.54,1
TALISAY_00555,yellow,6.4,4.52,0.641,50.6,0.0,False,60.58,mature,1.416,1.27,1
TALISAY_01924,brown,4.98,3.21,0.303,31.2,0.0,False,54.39,fully_ripe,1.551,0.97,2
TALISAY_00607,yellow,6.16,5.04,0.72,45.1,23.9,True,59.18,mature,1.222,1.6,1
TALISAY_01618,brown,5.73,3.62,0.477,37.6,0.0,False,58.93,fully_ripe,1.583,1.27,2
TALISAY_00757,yellow,5.11,4.32,0.542,31.1,0.0,False,57.57,mature,1.183,1.74,1
TALISAY_00438,green,6.74,4.97,0.796,58.1,6.8,True,45.4,immature,1.356,1.37,0
TALISAY_00582,yellow,4.9,3.75,0.415,30.4,15.4,True,60.16,mature,1.307,1.37,1
TALISAY_01518,brown,4.33,2.83,0.237,23.9,0.0,False,55.7,fully_ripe,1.53,0.99,2
TALISAY_00527,yellow,5.63,4.37,0.714,53.7,0.0,False,58.87,mature,1.288,1.33,1
TALISAY_00342,green,4.35,2.84,0.274,25.2,25.7,True,47.06,immature,1.532,1.09,0
TALISAY_01736,brown,5.0,4.67,0.425,52.0,0.0,False,54.7,fully_ripe,1.071,0.82,2
TALISAY_00367,green,5.18,3.52,0.426,35.5,0.0,False,47.01,immature,1.472,1.2,0
TALISAY_00185,green,4.83,3.13,0.494,31.1,0.0,False,46.47,immature,1.543,1.59,0
TALISAY_01116,yellow,5.97,5.5,0.618,44.6,0.0,False,59.97,mature,1.085,1.39,1
TALISAY_01754,brown,6.84,5.14,0.9,54.0,0.0,False,54.71,fully_ripe,1.331,1.67,2
TALISAY_01425,yellow,5.84,4.34,0.78,52.2,7.9,True,59.56,mature,1.346,1.49,1
TALISAY_00300,green,4.49,2.93,0.511,30.1,7.6,True,47.85,immature,1.532,1.7,0
TALISAY_01903,brown,6.64,5.5,0.867,50.4,20.7,True,57.91,fully_ripe,1.207,1.72,2
TALISAY_00832,yellow,5.58,3.06,0.404,26.9,0.0,False,58.55,mature,1.824,1.5,1
TALISAY_00543,yellow,4.33,3.09,0.322,31.0,9.1,True,57.48,mature,1.401,1.04,1
TALISAY_01600,brown,4.67,3.63,0.503,34.2,20.8,True,54.26,fully_ripe,1.287,1.47,2
TALISAY_00350,green,5.46,3.9,0.678,47.8,46.1,True,47.57,immature,1.4,1.42,0
TALISAY_01932,brown,4.89,3.15,0.345,33.9,16.2,True,56.63,fully_ripe,1.552,1.02,2
TALISAY_01510,brown,4.23,2.81,0.284,27.4,0.0,False,54.83,fully_ripe,1.505,1.04,2
TALISAY_00978,yellow,5.58,4.16,0.369,34.3,0.0,False,57.7,mature,1.341,1.08,1
TALISAY_00175,green,6.92,4.59,0.745,54.0,36.1,True,48.15,immature,1.508,1.38,0
TALISAY_00482,green,6.17,4.48,0.857,51.4,33.2,True,46.58,immature,1.377,1.67,0
TALISAY_01412,yellow,5.58,3.7,0.658,44.4,0.0,False,57.32,mature,1.508,1.48,1
TALISAY_01610,brown,5.23,3.72,0.573,39.1,0.0,False,56.48,fully_ripe,1.406,1.47,2
TALISAY_00123,green,6.84,5.41,0.9,59.9,0.0,False,49.46,immature,1.264,1.5,0
TALISAY_00599,yellow,5.06,4.4,0.507,46.0,0.0,False,58.43,mature,1.15,1.1,1
TALISAY_01794,brown,4.79,4.01,0.62,36.6,0.0,False,53.52,fully_ripe,1.195,1.69,2
TALISAY_01745,brown,4.73,3.2,0.32,31.1,0.0,False,56.66,fully_ripe,1.478,1.03,2
TALISAY_01378,yellow,4.73,3.05,0.449,38.3,21.6,True,58.85,mature,1.551,1.17,1
TALISAY_01185,yellow,6.08,4.95,0.763,47.0,0.0,False,61.46,mature,1.228,1.62,1
TALISAY_00485,green,4.98,4.62,0.581,43.8,8.2,True,45.58,immature,1.078,1.33,0
TALISAY_00331,green,5.72,4.58,0.711,52.5,0.0,False,47.67,immature,1.249,1.35,0
TALISAY_00788,yellow,6.63,4.59,0.765,58.4,0.0,False,58.16,mature,1.444,1.31,1
TALISAY_00194,green,6.96,4.9,0.724,52.6,5.5,True,45.93,immature,1.42,1.38,0
TALISAY_00637,yellow,6.09,5.24,0.766,47.7,0.0,False,57.4,mature,1.162,1.61,1
TALISAY_00471,green,5.33,3.44,0.532,29.9,10.2,True,46.11,immature,1.549,1.78,0
TALISAY_01713,brown,6.48,5.5,0.9,55.8,0.0,False,54.18,fully_ripe,1.178,1.61,2
TALISAY_00322,green,6.34,4.17,0.646,48.6,27.9,True,48.53,immature,1.52,1.33,0
TALISAY_01196,yellow,6.44,4.92,0.797,51.2,0.0,False,58.77,mature,1.309,1.56,1
TALISAY_00266,green,5.22,3.91,0.376,32.5,11.9,True,49.07,immature,1.335,1.16,0
TALISAY_01543,brown,6.18,3.53,0.536,44.0,0.0,False,55.58,fully_ripe,1.751,1.22,2
TALISAY_01803,brown,4.59,3.72,0.431,36.8,0.0,False,53.85,fully_ripe,1.234,1.17,2
TALISAY_00067,green,5.57,4.07,0.566,44.4,14.5,True,47.21,immature,1.369,1.27,0
TALISAY_01737,brown,6.41,5.31,0.741,47.6,0.0,False,56.63,fully_ripe,1.207,1.56,2
TALISAY_01592,brown,5.47,4.06,0.584,38.0,0.0,False,57.73,fully_ripe,1.347,1.54,2
TALISAY_01563,brown,6.96,5.15,0.877,55.4,21.4,True,57.93,fully_ripe,1.351,1.58,2
TALISAY_00480,green,5.95,4.8,0.652,40.9,41.9,True,48.14,immature,1.24,1.59,0
TALISAY_01756,brown,5.02,3.56,0.377,39.1,0.0,False,56.39,fully_ripe,1.41,0.96,2
TALISAY_01912,brown,4.9,2.72,0.617,30.3,0.0,False,57.68,fully_ripe,1.801,2.04,2
TALISAY_01440,yellow,6.37,5.49,0.822,51.0,9.7,True,58.88,mature,1.16,1.61,1
TALISAY_01460,yellow,4.51,3.15,0.307,23.7,0.0,False,58.43,mature,1.432,1.3,1
TALISAY_00887,yellow,5.3,3.68,0.366,35.7,0.0,False,58.4,mature,1.44,1.03,1
TALISAY_00422,green,4.61,4.03,0.516,38.4,20.8,True,48.8,immature,1.144,1.34,0
TALISAY_01674,brown,7.0,5.44,0.713,56.3,15.2,True,56.5,fully_ripe,1.287,1.27,2
TALISAY_01449,yellow,6.25,4.55,0.9,47.9,0.0,False,59.94,mature,1.374,1.88,1
TALISAY_00764,yellow,5.02,3.58,0.46,33.9,0.0,False,58.85,mature,1.402,1.36,1
TALISAY_00519,yellow,5.01,3.65,0.385,36.8,7.7,True,59.76,mature,1.373,1.05,1
TALISAY_01431,yellow,6.22,4.17,0.545,46.1,0.0,False,60.85,mature,1.492,1.18,1
TALISAY_00613,yellow,5.91,4.47,0.678,47.4,0.0,False,61.18,mature,1.322,1.43,1
TALISAY_01530,brown,6.98,4.84,0.881,60.0,0.0,False,56.52,fully_ripe,1.442,1.47,2
TALISAY_01782,brown,6.44,5.5,0.87,46.7,0.0,False,55.52,fully_ripe,1.171,1.86,2
TALISAY_01658,brown,5.72,4.16,0.585,44.8,0.0,False,57.7,fully_ripe,1.375,1.31,2
TALISAY_00453,green,3.98,3.02,0.322,29.3,29.7,True,45.83,immature,1.318,1.1,0
TALISAY_00730,yellow,6.51,5.33,0.772,58.0,0.0,False,62.46,mature,1.221,1.33,1
TALISAY_00534,yellow,6.24,4.62,0.703,46.2,0.0,False,57.9,mature,1.351,1.52,1
TALISAY_00965,yellow,4.51,3.86,0.236,33.2,0.0,False,56.91,mature,1.168,0.71,1
TALISAY_01284,yellow,5.59,4.68,0.632,39.1,21.2,True,58.16,mature,1.194,1.62,1
TALISAY_01739,brown,6.84,4.29,0.651,42.5,5.0,True,56.91,fully_ripe,1.594,1.53,2
TALISAY_00261,green,5.81,3.88,0.453,36.0,34.1,True,46.15,immature,1.497,1.26,0
TALISAY_00535,yellow,6.29,4.56,0.655,56.8,0.0,False,59.18,mature,1.379,1.15,1
TALISAY_00968,yellow,6.2,5.5,0.9,54.1,0.0,False,59.23,mature,1.127,1.66,1
TALISAY_00240,green,5.97,4.37,0.631,41.5,38.3,True,47.22,immature,1.366,1.52,0
TALISAY_00819,yellow,5.2,4.7,0.485,40.8,0.0,False,59.46,mature,1.106,1.19,1
TALISAY_00692,yellow,4.53,3.24,0.375,35.9,0.0,False,56.47,mature,1.398,1.04,1
TALISAY_00420,green,4.76,3.86,0.219,32.1,0.0,False,45.0,immature,1.233,0.68,0
TALISAY_01085,yellow,6.54,5.31,0.705,54.2,17.9,True,59.74,mature,1.232,1.3,1
TALISAY_01998,brown,5.64,4.38,0.637,43.7,10.7,True,53.45,fully_ripe,1.288,1.46,2
TALISAY_00365,green,5.2,3.27,0.396,25.4,0.0,False,46.68,immature,1.59,1.56,0
TALISAY_01022,yellow,4.9,3.8,0.647,38.7,0.0,False,57.37,mature,1.289,1.67,1
TALISAY_01240,yellow,4.99,3.99,0.542,36.2,0.0,False,57.2,mature,1.251,1.5,1
TALISAY_00588,yellow,6.37,4.94,0.789,52.3,0.0,False,57.88,mature,1.289,1.51,1
TALISAY_00736,yellow,7.0,5.35,0.9,60.0,0.0,False,61.16,mature,1.308,1.5,1
TALISAY_01761,brown,5.52,4.44,0.429,36.0,0.0,False,55.2,fully_ripe,1.243,1.19,2
TALISAY_00941,yellow,5.22,3.03,0.466,29.4,0.0,False,58.24,mature,1.723,1.59,1
TALISAY_00071,green,5.31,4.19,0.563,42.5,12.7,True,47.68,immature,1.267,1.32,0
TALISAY_01407,yellow,5.75,4.24,0.686,45.2,0.0,False,62.61,mature,1.356,1.52,1
TALISAY_00259,green,5.86,3.69,0.654,46.5,40.9,True,46.65,immature,1.588,1.41,0
TALISAY_00051,green,6.65,4.89,0.706,58.1,13.5,True,46.66,immature,1.36,1.22,0
TALISAY_00198,green,6.28,5.16,0.839,53.1,21.7,True,45.83,immature,1.217,1.58,0
TALISAY_01788,brown,6.38,4.56,0.784,42.5,0.0,False,57.97,fully_ripe,1.399,1.84,2
TALISAY_00650,yellow,6.46,5.0,0.858,55.0,0.0,False,59.79,mature,1.292,1.56,1
TALISAY_00332,green,5.84,4.88,0.838,47.4,17.5,True,47.67,immature,1.197,1.77,0
TALISAY_01359,yellow,6.26,4.79,0.71,59.1,21.8,True,57.69,mature,1.307,1.2,1
TALISAY_00593,yellow,5.4,3.16,0.544,34.2,0.0,False,56.8,mature,1.709,1.59,1
TALISAY_01391,yellow,7.0,5.5,0.9,60.0,0.0,False,62.02,mature,1.273,1.5,1
TALISAY_01800,brown,5.38,3.7,0.61,41.8,0.0,False,54.14,fully_ripe,1.454,1.46,2
TALISAY_01314,yellow,5.05,3.01,0.422,26.9,0.0,False,59.36,mature,1.678,1.57,1
TALISAY_01111,yellow,6.3,3.83,0.747,52.5,0.0,False,58.51,mature,1.645,1.42,1
TALISAY_01006,yellow,4.8,3.14,0.315,30.2,0.0,False,57.11,mature,1.529,1.04,1
TALISAY_01326,yellow,5.51,4.61,0.469,36.2,13.6,True,57.53,mature,1.195,1.3,1
TALISAY_00426,green,5.82,4.49,0.578,45.3,0.0,False,47.6,immature,1.296,1.28,0
TALISAY_01558,brown,4.75,3.54,0.426,34.8,0.0,False,56.49,fully_ripe,1.342,1.22,2
TALISAY_01293,yellow,5.7,4.09,0.672,44.1,15.4,True,60.61,mature,1.394,1.52,1
TALISAY_00590,yellow,5.39,4.52,0.59,38.0,0.0,False,58.38,mature,1.192,1.55,1
TALISAY_01957,brown,5.72,3.96,0.521,41.5,0.0,False,55.9,fully_ripe,1.444,1.26,2
TALISAY_01976,brown,6.14,4.11,0.532,43.9,0.0,False,56.7,fully_ripe,1.494,1.21,2
TALISAY_01132,yellow,6.81,4.13,0.886,44.9,0.0,False,60.5,mature,1.649,1.97,1
TALISAY_00985,yellow,5.02,3.49,0.361,29.9,13.9,True,58.91,mature,1.438,1.21,1
TALISAY_00398,green,4.48,3.92,0.397,37.5,13.3,True,45.2,immature,1.143,1.06,0
TALISAY_01511,brown,6.16,5.5,0.9,58.3,0.0,False,57.3,fully_ripe,1.12,1.54,2
TALISAY_00436,green,4.61,3.69,0.478,25.8,12.2,True,46.45,immature,1.249,1.85,0
TALISAY_00192,green,6.27,5.34,0.731,60.0,42.8,True,51.22,immature,1.174,1.22,0
TALISAY_01435,yellow,6.6,4.69,0.753,52.0,0.0,False,58.7,mature,1.407,1.45,1
TALISAY_00614,yellow,5.06,3.98,0.412,25.5,0.0,False,59.25,mature,1.271,1.62,1
TALISAY_01493,yellow,4.67,3.02,0.583,30.8,18.7,True,58.59,mature,1.546,1.89,1
TALISAY_00576,yellow,5.48,4.11,0.574,39.6,0.0,False,59.84,mature,1.333,1.45,1
TALISAY_00986,yellow,6.06,4.7,0.882,43.1,0.0,False,59.51,mature,1.289,2.05,1
TALISAY_01432,yellow,5.86,3.79,0.465,43.3,0.0,False,60.99,mature,1.546,1.07,1
TALISAY_00706,yellow,6.14,5.15,0.852,53.4,0.0,False,59.93,mature,1.192,1.6,1
TALISAY_01258,yellow,6.1,4.54,0.546,47.5,0.0,False,59.35,mature,1.344,1.15,1
TALISAY_00141,green,6.87,5.5,0.812,60.0,37.9,True,47.29,immature,1.249,1.35,0
TALISAY_01357,yellow,6.78,5.23,0.823,59.1,0.0,False,59.9,mature,1.296,1.39,1
TALISAY_00002,green,4.62,2.9,0.535,31.9,28.1,True,46.33,immature,1.593,1.68,0
TALISAY_01221,yellow,4.38,3.74,0.308,33.1,0.0,False,56.92,mature,1.171,0.93,1
TALISAY_01869,brown,5.84,4.15,0.532,39.8,0.0,False,57.57,fully_ripe,1.407,1.34,2
TALISAY_01622,brown,5.87,4.48,0.605,34.7,0.0,False,55.35,fully_ripe,1.31,1.74,2
TALISAY_00339,green,6.76,5.31,0.729,54.8,38.7,True,47.71,immature,1.273,1.33,0
TALISAY_01769,brown,4.67,2.97,0.194,30.8,24.9,True,55.74,fully_ripe,1.572,0.63,2
TALISAY_01536,brown,6.21,4.5,0.74,51.3,18.7,True,57.53,fully_ripe,1.38,1.44,2
TALISAY_00483,green,4.78,3.69,0.418,23.4,0.0,False,46.85,immature,1.295,1.79,0
TALISAY_00265,green,6.65,5.5,0.817,60.0,0.0,False,48.9,immature,1.209,1.36,0
TALISAY_00376,green,5.58,4.06,0.442,37.7,21.2,True,47.25,immature,1.374,1.17,0
TALISAY_00741,yellow,4.75,3.4,0.402,27.4,0.0,False,56.41,mature,1.397,1.47,1
TALISAY_01013,yellow,4.95,3.33,0.429,29.6,0.0,False,57.59,mature,1.486,1.45,1
TALISAY_00439,green,5.02,3.06,0.359,26.4,31.5,True,47.91,immature,1.641,1.36,0
TALISAY_00271,green,4.74,3.12,0.48,31.9,0.0,False,45.16,immature,1.519,1.5,0
TALISAY_00184,green,5.51,4.24,0.527,47.1,0.0,False,45.66,immature,1.3,1.12,0
TALISAY_00939,yellow,6.53,4.6,0.698,46.8,0.0,False,57.18,mature,1.42,1.49,1
TALISAY_00244,green,6.5,5.19,0.828,52.9,8.6,True,49.5,immature,1.252,1.57,0
TALISAY_00931,yellow,4.88,3.19,0.455,22.3,15.6,True,59.21,mature,1.53,2.04,1
TALISAY_00445,green,4.77,3.06,0.51,30.1,15.8,True,45.92,immature,1.559,1.69,0
TALISAY_00596,yellow,6.89,5.5,0.9,56.2,0.0,False,62.59,mature,1.253,1.6,1
TALISAY_00817,yellow,5.57,4.41,0.541,52.2,0.0,False,59.3,mature,1.263,1.04,1
TALISAY_01272,yellow,5.72,3.4,0.346,27.3,11.2,True,58.1,mature,1.682,1.27,1
TALISAY_01676,brown,4.4,3.02,0.447,43.2,0.0,False,55.87,fully_ripe,1.457,1.03,2
TALISAY_00486,green,6.26,4.52,0.705,46.9,9.4,True,51.03,immature,1.385,1.5,0
TALISAY_00680,yellow,5.3,4.4,0.61,50.5,0.0,False,58.65,mature,1.205,1.21,1
TALISAY_00415,green,6.42,4.45,0.678,47.9,42.4,True,46.17,immature,1.443,1.42,0
TALISAY_00273,green,5.03,4.63,0.634,43.8,0.0,False,48.0,immature,1.086,1.45,0
TALISAY_01471,yellow,5.28,4.52,0.805,49.0,0.0,False,61.4,mature,1.168,1.64,1
TALISAY_01829,brown,5.74,4.81,0.61,37.7,27.4,True,57.77,fully_ripe,1.193,1.62,2
TALISAY_01454,yellow,7.0,4.85,0.789,45.2,0.0,False,57.21,mature,1.443,1.75,1
TALISAY_00250,green,4.81,3.7,0.375,40.6,28.2,True,46.0,immature,1.3,0.92,0
TALISAY_00413,green,4.26,4.38,0.448,40.0,45.7,True,48.0,immature,0.973,1.12,0
TALISAY_01385,yellow,4.7,3.67,0.522,33.6,0.0,False,56.34,mature,1.281,1.55,1
TALISAY_01307,yellow,6.67,4.37,0.871,53.8,0.0,False,59.18,mature,1.526,1.62,1
TALISAY_00715,yellow,4.79,2.87,0.346,32.3,0.0,False,58.0,mature,1.669,1.07,1
TALISAY_00310,green,5.36,3.44,0.427,36.7,6.3,True,49.84,immature,1.558,1.16,0
TALISAY_00926,yellow,4.43,2.86,0.347,32.0,0.0,False,57.52,mature,1.549,1.08,1
TALISAY_00381,green,5.7,4.58,0.688,45.3,27.5,True,47.56,immature,1.245,1.52,0
TALISAY_01565,brown,4.79,2.89,0.511,32.5,0.0,False,56.15,fully_ripe,1.657,1.57,2
TALISAY_00425,green,5.22,2.7,0.306,31.6,0.0,False,45.0,immature,1.933,0.97,0
TALISAY_01874,brown,7.0,4.79,0.9,60.0,0.0,False,57.75,fully_ripe,1.461,1.5,2
TALISAY_00532,yellow,4.84,3.55,0.361,35.1,22.9,True,58.49,mature,1.363,1.03,1
TALISAY_00752,yellow,4.92,3.53,0.53,28.6,0.0,False,60.13,mature,1.394,1.85,1
TALISAY_00765,yellow,5.26,3.49,0.558,31.2,0.0,False,58.07,mature,1.507,1.79,1
TALISAY_01356,yellow,6.29,4.84,0.9,57.3,0.0,False,61.26,mature,1.3,1.57,1
TALISAY_00408,green,5.53,4.45,0.499,44.1,6.4,True,47.14,immature,1.243,1.13,0
TALISAY_01614,brown,4.83,4.52,0.573,39.2,0.0,False,54.3,fully_ripe,1.069,1.46,2
TALISAY_00694,yellow,4.78,3.32,0.293,27.3,18.0,True,59.07,mature,1.44,1.07,1
TALISAY_01738,brown,6.27,4.44,0.81,53.9,0.0,False,55.35,fully_ripe,1.412,1.5,2
TALISAY_00548,yellow,6.15,4.65,0.595,37.8,0.0,False,60.33,mature,1.323,1.57,1
TALISAY_00936,yellow,5.57,4.78,0.537,46.9,0.0,False,58.24,mature,1.165,1.14,1
TALISAY_01389,yellow,6.05,4.24,0.765,53.7,16.1,True,58.63,mature,1.427,1.42,1
TALISAY_01607,brown,5.16,2.88,0.477,31.8,0.0,False,54.87,fully_ripe,1.792,1.5,2
TALISAY_01939,brown,5.07,3.53,0.418,34.5,0.0,False,56.16,fully_ripe,1.436,1.21,2
TALISAY_01481,yellow,5.14,2.85,0.282,24.1,0.0,False,55.9,mature,1.804,1.17,1
TALISAY_00182,green,6.05,4.69,0.896,47.3,0.0,False,48.7,immature,1.29,1.89,0
TALISAY_01940,brown,6.66,5.04,0.783,60.0,0.0,False,56.46,fully_ripe,1.321,1.31,2
TALISAY_01160,yellow,6.71,5.32,0.9,59.9,0.0,False,58.4,mature,1.261,1.5,1
TALISAY_00170,green,6.25,5.01,0.851,59.0,15.4,True,50.68,immature,1.248,1.44,0
TALISAY_00292,green,4.54,3.69,0.395,31.5,34.6,True,48.11,immature,1.23,1.25,0
TALISAY_00561,yellow,6.24,3.53,0.643,37.6,0.0,False,59.22,mature,1.768,1.71,1
TALISAY_01456,yellow,7.0,4.99,0.9,45.6,18.0,True,59.56,mature,1.403,1.97,1
TALISAY_01876,brown,6.9,4.88,0.793,44.1,0.0,False,54.67,fully_ripe,1.414,1.8,2
TALISAY_01651,brown,5.87,3.88,0.483,49.0,0.0,False,54.83,fully_ripe,1.513,0.99,2
TALISAY_00849,yellow,4.8,3.47,0.296,36.6,5.0,False,57.83,mature,1.383,0.81,1
TALISAY_00272,green,5.81,4.6,0.495,39.9,39.3,True,47.34,immature,1.263,1.24,0
TALISAY_01549,brown,6.57,4.77,0.9,54.8,27.3,True,53.82,fully_ripe,1.377,1.64,2
TALISAY_01034,yellow,6.85,4.65,0.75,50.2,20.7,True,60.44,mature,1.473,1.49,1
TALISAY_01743,brown,5.13,3.11,0.59,35.3,0.0,False,56.25,fully_ripe,1.65,1.67,2
TALISAY_00371,green,4.87,3.76,0.532,31.5,36.3,True,45.79,immature,1.295,1.69,0
TALISAY_01669,brown,4.57,4.12,0.479,32.9,0.0,False,52.21,fully_ripe,1.109,1.46,2
TALISAY_00721,yellow,5.15,3.43,0.513,35.5,0.0,False,56.17,mature,1.501,1.45,1
TALISAY_00733,yellow,4.33,3.35,0.3,28.1,20.6,True,57.63,mature,1.293,1.07,1
TALISAY_00777,yellow,4.56,2.7,0.486,32.4,0.0,False,55.55,mature,1.689,1.5,1
TALISAY_00518,yellow,6.74,5.37,0.9,59.4,0.0,False,60.63,mature,1.255,1.52,1
TALISAY_00334,green,5.72,4.45,0.615,47.8,26.7,True,46.11,immature,1.285,1.29,0
TALISAY_00845,yellow,5.38,3.46,0.425,42.1,0.0,False,59.39,mature,1.555,1.01,1
TALISAY_01251,yellow,5.59,4.4,0.563,53.5,0.0,False,58.06,mature,1.27,1.05,1
